,Price_Change,Avg_G_Price,A_G,A_L,StrikePrice,ContractAmount,Utility_G,Utility_L,ThreatPoint_G,ThreatPoint_L,Nash_Product,Gamma,Factor,Production_Change,Avg_Production,Load_Change,Avg_Load,CaptureRate_Change,Avg_G_Capture_Rate,Load_CaptureRate_Change,Avg_Load_Capture_Rate
0,0.6,,0.1,0.1,,,,,,,,,Price Sensitivity (Expected),,,,,,,,
1,0.7,,0.1,0.1,,,,,,,,,Price Sensitivity (Expected),,,,,,,,
2,0.8,0.06876123472390708,0.1,0.1,40.432620293177344,29.999999938021734,76.24923383292028,-207.011451418784,74.28368986663465,-208.9838398190331,3.8768161192814294,0.9999999979340578,Price Sensitivity (Expected),,,,,,,,
3,0.85,0.07299232181172596,0.1,0.1,42.95573427344084,30.0,81.00740944646255,-219.7198148105912,79.04530179234231,-221.68875495440122,3.863272526674222,1.0,Price Sensitivity (Expected),,,,,,,,
4,0.9,0.07722340889954481,0.1,0.1,45.47877483797756,30.0,85.76544661003234,-232.42803927425376,83.80661451119275,-234.3936924673098,3.8503845697446875,1.0,Price Sensitivity (Expected),,,,,,,,
5,0.95,0.08145449598736366,0.1,0.1,48.001685610808956,30.0,90.52323900791498,-245.13601811989457,88.5674349959431,-247.09863268809133,3.8384894464336705,1.0,Price Sensitivity (Expected),,,,,,,,
6,1.0,0.08568558307518252,0.1,0.1,50.52430469357419,30.0,95.2804813265819,-257.8434449708079,93.32715418383083,-259.8035740497056,3.8287733331065357,1.0,Price Sensitivity (Expected),,,,,,,,
7,1.05,0.08991667016300138,0.1,0.1,53.04685268408136,30.0,100.03758957700961,-270.55073728662336,98.08632377820584,-272.50879784570475,3.8206966009221115,1.0,Price Sensitivity (Expected),,,,,,,,
8,1.1,0.09414775725082024,0.1,0.1,55.569413744703446,30.0,104.7947224755121,-283.2580543363443,102.8453588977809,-285.21420605080317,3.8132509046825995,1.0,Price Sensitivity (Expected),,,,,,,,
9,1.15,0.09837884433863911,0.1,0.1,58.09188943177353,30.0,109.55169437361731,-295.9652568752905,107.60389354553206,-297.91983173104586,3.8071225225949124,1.0,Price Sensitivity (Expected),,,,,,,,
10,1.2,0.10260993142645797,0.1,0.1,60.61421187512341,30.0,114.30837727941457,-308.6726699480448,112.36208876208902,-310.62567572766636,3.8011127231478654,1.0,Price Sensitivity (Expected),,,,,,,,
11,1.3,0.11107210560209568,0.1,0.1,65.65840880471616,30.0,123.82089831800272,-334.0881234177211,121.87709612393208,-336.0386073018887,3.7913548535444566,1.0,Price Sensitivity (Expected),,,,,,,,
12,1.4,0.11953427977773338,0.1,0.1,70.70229276426532,30.0,133.33282914685768,-359.5030448400288,131.39001767801733,-361.4525345956274,3.7874910555637635,1.0,Price Sensitivity (Expected),,,,,,,,
13,0.6,0.08526004654766038,0.1,0.1,50.49007910267452,30.0,95.21593752346803,-256.3630662328678,94.04913960625927,-257.5339126256545,1.3661411324749047,1.0,Price Sensitivity (Expected),,,,,,,,
14,0.7,0.08536643067954093,0.1,0.1,50.5002532546907,30.0,95.23512429124386,-256.73487256233943,93.87511058488585,-258.0995612266121,1.8559952883222173,1.0,Price Sensitivity (Expected),,,,,,,,
15,0.8,0.08547281481142145,0.1,0.1,50.50900757789872,30.0,95.25163349674423,-257.10421626381566,93.6958713342922,-258.66532625370195,2.4287158536909565,1.0,Price Sensitivity (Expected),,,,,,,,
16,0.85,0.08552600687736173,0.1,0.1,50.513235452658236,30.0,95.2596065691995,-257.2888165452681,93.60464246338417,-258.94946783041405,2.7483182691926524,1.0,Price Sensitivity (Expected),,,,,,,,
17,0.9,0.085579198943302,0.1,0.1,50.51696939880739,30.0,95.26664817399738,-257.47368357928053,93.51253625892396,-259.2339037190332,3.0876231202923745,1.0,Price Sensitivity (Expected),,,,,,,,
18,0.95,0.08563239100924226,0.1,0.1,50.52063987390837,30.0,95.27357008289727,-257.65856962622127,93.41996602485513,-259.5186283636744,3.447812423939856,1.0,Price Sensitivity (Expected),,,,,,,,
19,1.0,0.08568558307518252,0.1,0.1,50.52430469357419,30.0,95.2804813265819,-257.8434449708079,93.32715418383083,-259.8035740497056,3.8287733331065357,1.0,Price Sensitivity (Expected),,,,,,,,
20,1.05,0.08573877514112278,0.1,0.1,50.52790456154766,30.0,95.28727008211855,-258.0281974007126,93.23380677787841,-260.0888113335349,4.231395095256592,1.0,Price Sensitivity (Expected),,,,,,,,
21,1.1,0.08579196720706306,0.1,0.1,50.531255645548484,30.0,95.29358967223466,-258.21247903144683,93.13951990311705,-260.3740497581971,4.6561741563023125,1.0,Price Sensitivity (Expected),,,,,,,,
22,1.15,0.08584515927300333,0.1,0.1,50.534477467516155,30.0,95.29966549553771,-258.3965160465117,93.04474549267624,-260.6592881828592,5.1023701521675715,1.0,Price Sensitivity (Expected),,,,,,,,
23,1.2,0.0858983513389436,0.1,0.1,50.53763553500717,30.0,95.30562108844356,-258.58043241250743,92.94971738052772,-260.94453989113424,5.569609574808467,1.0,Price Sensitivity (Expected),,,,,,,,
24,1.3,0.08600473547082413,0.1,0.1,50.54390111592079,30.0,95.31743693764447,-258.94819422098305,92.75944551773135,-261.51505965644856,6.566019759992314,1.0,Price Sensitivity (Expected),,,,,,,,
25,1.4,0.08611111960270466,0.1,0.1,50.5498485840547,29.99999993827466,95.32865287869791,-259.3153926672409,92.56804306349107,-262.0855794217629,7.647404744489244,0.9999999979424886,Price Sensitivity (Expected),,,,,,,,
26,,,0.1,0.1,50.5867030818228,30.0,57.10006036633067,-258.67578681275,55.976087727618626,-259.8035740497056,1.267601996626768,1.0,Production (Expected),0.6,56.80700928544175,,,,,,
27,,,0.1,0.1,50.56564682680521,30.0,66.64683117703484,-258.4645801642365,65.31459113858573,-259.8035740497056,1.783861265460494,1.0,Production (Expected),0.7,66.27048774565624,,,,,,
28,,,0.1,0.1,50.54934317437849,30.0,76.19279494736558,-258.25664004939836,74.65258208470141,-259.8035740497056,2.382607644965792,1.0,Production (Expected),0.8,75.73396620587074,,,,,,
29,,,0.1,0.1,50.54148851002202,30.0,80.96393852614048,-258.15161684643,79.32126546949083,-259.8035740497056,2.713625588559194,1.0,Production (Expected),0.85,80.46570543597798,,,,,,
30,,,0.1,0.1,50.53572771903132,30.0,85.73714784828259,-258.0496185843719,83.98992994373971,-259.8035740497056,3.064542392801908,1.0,Production (Expected),0.9,85.19744466608525,,,,,,
31,,,0.1,0.1,50.52975587391535,30.0,90.50888878788791,-257.94652160731914,88.65859441798861,-259.8035740497056,3.4360936787554435,1.0,Production (Expected),0.95,89.92918389619248,,,,,,
32,,,0.1,0.1,50.52430469357419,30.0,95.2804813265819,-257.8434449708079,93.32715418383083,-259.8035740497056,3.8287733331065357,1.0,Production (Expected),1.0,94.66092312629972,,,,,,
33,,,0.1,0.1,50.519077191607245,29.99999993654833,100.05148511083263,-257.74066409691727,97.99554901512538,-259.8035740497056,4.241211034131304,0.9999999978849444,Production (Expected),1.05,99.39266235640697,,,,,,
34,,,0.1,0.1,50.513984137846336,30.0,104.82177848218507,-257.6386077868236,102.66380020863504,-259.8035740497056,4.6719501582681335,1.0,Production (Expected),1.1,104.12440158651421,,,,,,
35,,,0.1,0.1,50.51116952008448,30.0,109.59605150470198,-257.5410670756981,107.33198249359928,-259.8035740497056,5.122471927254153,1.0,Production (Expected),1.15,108.85614081662146,,,,,,
36,,,0.1,0.1,50.502440765353,30.0,114.35639998935915,-257.4312393726757,112.00016477856354,-259.8035740497056,5.589778497809326,1.0,Production (Expected),1.2,113.58788004672874,,,,,,
37,,,0.1,0.1,50.49576092304313,29.99999993410339,123.89858524652269,-257.23325922143044,121.33539710261732,-259.8035740497056,6.588200493939075,0.9999999978034463,Production (Expected),1.3,123.05135850694322,,,,,,
38,,,0.1,0.1,50.48788836583139,29.999999933359167,133.43508968038168,-257.031905704571,130.67047321301607,-259.8035740497056,7.662599949035191,0.9999999977786389,Production (Expected),1.4,132.51483696715772,,,,,,
39,,,0.1,0.1,50.49177612603553,30.0,95.35770956022729,-257.77996158157356,93.33831014938299,-259.8035740497056,4.086481825923058,1.0,Production (Std),0.6,94.65046771663779,,,,,,
40,,,0.1,0.1,50.50011469454401,29.999999936606955,95.33880895182762,-257.79622381083175,93.33633452680792,-259.8035740497056,4.019667515402106,0.9999999978868985,Production (Std),0.7,94.65308156905328,,,,,,
41,,,0.1,0.1,50.50843384448652,30.0,95.31986025420322,-257.81244879259833,93.33426240412544,-259.8035740497056,3.9535740297477937,1.0,Production (Std),0.8,94.65569542146878,,,,,,
42,,,0.1,0.1,50.51250053427849,30.0,95.31020636282588,-257.820385321801,93.33286714779331,-259.8035740497056,3.9214368424963912,1.0,Production (Std),0.85,94.65700234767651,,,,,,
43,,,0.1,0.1,50.51645866758546,30.0,95.30034488719451,-257.82811629572547,93.3310566447644,-259.8035740497056,3.8902457283305063,1.0,Production (Std),0.9,94.65830927388426,,,,,,
44,,,0.1,0.1,50.52040354160855,30.0,95.29045568648186,-257.83582206113255,93.32919061269753,-259.8035740497056,3.8592832490580298,1.0,Production (Std),0.95,94.65961620009199,,,,,,
45,,,0.1,0.1,50.52430469357419,30.0,95.2804813265819,-257.8434449708079,93.32715418383083,-259.8035740497056,3.8287733331065357,1.0,Production (Std),1.0,94.66092312629972,,,,,,
46,,,0.1,0.1,50.52816475310038,30.0,95.27042681061432,-257.8509900029353,93.32495736260049,-259.8035740497056,3.798692607670866,1.0,Production (Std),1.05,94.66223005250747,,,,,,
47,,,0.1,0.1,50.53199846653605,30.0,95.26031997992737,-257.8584850649073,93.32265583296348,-259.8035740497056,3.768929188498077,1.0,Production (Std),1.1,94.66353697871521,,,,,,
48,,,0.1,0.1,50.53583359623199,30.0,95.25021318826477,-257.86598269417664,93.32035430332645,-259.8035740497056,3.73927789284727,1.0,Production (Std),1.15,94.66484390492295,,,,,,
49,,,0.1,0.1,50.53967014297965,30.0,95.2401064356604,-257.8734828921784,93.31805277368942,-259.8035740497056,3.709738777262987,1.0,Production (Std),1.2,94.66615083113068,,,,,,
50,,,0.1,0.1,50.54732544073733,30.0,95.21985151037978,-257.88844927450117,93.3133666396993,-259.8035740497056,3.651156409392646,1.0,Production (Std),1.3,94.66876468354616,,,,,,
51,,,0.1,0.1,50.55483977173011,30.0,95.19932062721432,-257.9031484573095,93.30812827621345,-259.8035740497056,3.5940703439858313,1.0,Production (Std),1.4,94.67137853596165,,,,,,
52,,,0.1,0.1,50.496406203359435,29.999999919391897,95.22786938882918,-154.01725605247486,93.32715418383083,-155.92476102952267,3.625623713484794,0.9999999973130632,Load Sensitivity (Expected),,,0.6,86.56060929400454,,,,
53,,,0.1,0.1,50.510141245107455,30.0,95.25377140557775,-179.9602718337872,93.32715418383083,-181.8936699933578,3.7249181907225255,1.0,Load Sensitivity (Expected),,,0.7,100.97740611971606,,,,
54,,,0.1,0.1,50.5166039437584,30.0,95.26595898622563,-205.91727895807168,93.32715418383083,-207.86287301666425,3.7721271043100737,1.0,Load Sensitivity (Expected),,,0.8,115.3942029454276,,,,
55,,,0.1,0.1,50.51895699841952,30.0,95.27039645809305,-218.8978087678132,93.32715418383083,-220.84787979262424,3.7894604532266833,1.0,Load Sensitivity (Expected),,,0.85,122.60260135828335,,,,
